time,pack
2019-08-30 21:52:33,49.2
2019-08-30 21:52:34,49.2
2019-08-30 21:52:35,49.6
2019-08-30 21:52:36,50.5
2019-08-30 21:52:37,49.3
2019-08-30 21:52:38,49.4
2019-08-30 21:52:39,49.1
2019-08-30 21:52:40,49.4
2019-08-30 21:52:41,52.1
2019-08-30 21:52:42,50.7
2019-08-30 21:52:43,51.8
2019-08-30 21:52:44,49.6
2019-08-30 21:52:45,49.4
2019-08-30 21:52:47,49.4
2019-08-30 21:52:48,51.6
2019-08-30 21:52:49,49.1
2019-08-30 21:52:50,49.3
2019-08-30 21:52:51,50.3
2019-08-30 21:52:52,50.8
2019-08-30 21:52:53,50.1
2019-08-30 21:52:54,49.3
2019-08-30 21:52:55,60.0
2019-08-30 21:52:56,49.6
2019-08-30 21:52:57,51.8
2019-08-30 21:52:58,49.8
2019-08-30 21:52:59,51.0
2019-08-30 21:53:00,51.2
2019-08-30 21:53:01,49.7
2019-08-30 21:53:02,49.3
2019-08-30 21:53:03,50.0
2019-08-30 21:53:04,48.6
2019-08-30 21:53:05,49.3
2019-08-30 21:53:06,50.7
2019-08-30 21:53:07,51.5
2019-08-30 21:53:08,49.2
2019-08-30 21:53:09,46.2
