2019-08-30 22:04:13 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2019-08-30 22:05:13 64 bytes from 8.8.8.8: icmp_seq=61 ttl=56 time=46.5 ms
2019-08-30 22:05:14 64 bytes from 8.8.8.8: icmp_seq=62 ttl=56 time=49.5 ms
2019-08-30 22:05:15 64 bytes from 8.8.8.8: icmp_seq=63 ttl=56 time=96.6 ms
2019-08-30 22:05:16 64 bytes from 8.8.8.8: icmp_seq=64 ttl=56 time=49.7 ms
2019-08-30 22:05:17 64 bytes from 8.8.8.8: icmp_seq=65 ttl=56 time=93.8 ms
2019-08-30 22:05:18 64 bytes from 8.8.8.8: icmp_seq=66 ttl=56 time=49.5 ms
2019-08-30 22:05:19 64 bytes from 8.8.8.8: icmp_seq=67 ttl=56 time=89.4 ms
2019-08-30 22:05:20 64 bytes from 8.8.8.8: icmp_seq=68 ttl=56 time=59.2 ms
2019-08-30 22:05:21 64 bytes from 8.8.8.8: icmp_seq=69 ttl=56 time=86.6 ms
2019-08-30 22:05:22 64 bytes from 8.8.8.8: icmp_seq=70 ttl=56 time=80.1 ms
2019-08-30 22:05:23 64 bytes from 8.8.8.8: icmp_seq=71 ttl=56 time=49.2 ms
2019-08-30 22:05:24 64 bytes from 8.8.8.8: icmp_seq=72 ttl=56 time=49.2 ms
2019-08-30 22:05:25 64 bytes from 8.8.8.8: icmp_seq=73 ttl=56 time=49.2 ms
2019-08-30 22:05:26 64 bytes from 8.8.8.8: icmp_seq=74 ttl=56 time=48.3 ms
2019-08-30 22:05:27 64 bytes from 8.8.8.8: icmp_seq=75 ttl=56 time=79.7 ms
2019-08-30 22:05:28 64 bytes from 8.8.8.8: icmp_seq=76 ttl=56 time=71.5 ms
2019-08-30 22:05:29 64 bytes from 8.8.8.8: icmp_seq=77 ttl=56 time=71.8 ms
2019-08-30 22:05:30 64 bytes from 8.8.8.8: icmp_seq=78 ttl=56 time=67.4 ms
2019-08-30 22:05:31 64 bytes from 8.8.8.8: icmp_seq=79 ttl=56 time=66.0 ms
2019-08-30 22:05:32 64 bytes from 8.8.8.8: icmp_seq=80 ttl=56 time=64.5 ms
2019-08-30 22:05:33 64 bytes from 8.8.8.8: icmp_seq=81 ttl=56 time=49.3 ms
2019-08-30 22:05:34 64 bytes from 8.8.8.8: icmp_seq=82 ttl=56 time=71.0 ms
2019-08-30 22:05:35 64 bytes from 8.8.8.8: icmp_seq=83 ttl=56 time=49.2 ms
2019-08-30 22:05:36 64 bytes from 8.8.8.8: icmp_seq=84 ttl=56 time=50.5 ms
2019-08-30 22:05:37 64 bytes from 8.8.8.8: icmp_seq=85 ttl=56 time=57.5 ms
2019-08-30 22:05:38 64 bytes from 8.8.8.8: icmp_seq=86 ttl=56 time=51.7 ms
2019-08-30 22:05:39 64 bytes from 8.8.8.8: icmp_seq=87 ttl=56 time=50.1 ms
2019-08-30 22:05:40 64 bytes from 8.8.8.8: icmp_seq=88 ttl=56 time=51.5 ms
2019-08-30 22:05:41 64 bytes from 8.8.8.8: icmp_seq=89 ttl=56 time=49.7 ms
2019-08-30 22:05:42 64 bytes from 8.8.8.8: icmp_seq=90 ttl=56 time=55.2 ms
2019-08-30 22:05:43 64 bytes from 8.8.8.8: icmp_seq=91 ttl=56 time=51.7 ms
2019-08-30 22:05:44 64 bytes from 8.8.8.8: icmp_seq=92 ttl=56 time=56.6 ms
2019-08-30 22:05:45 64 bytes from 8.8.8.8: icmp_seq=93 ttl=56 time=49.4 ms
2019-08-30 22:05:46 64 bytes from 8.8.8.8: icmp_seq=94 ttl=56 time=48.8 ms
2019-08-30 22:05:47 64 bytes from 8.8.8.8: icmp_seq=95 ttl=56 time=49.2 ms
2019-08-30 22:05:48 64 bytes from 8.8.8.8: icmp_seq=96 ttl=56 time=50.4 ms
2019-08-30 22:05:49 64 bytes from 8.8.8.8: icmp_seq=97 ttl=56 time=49.5 ms
2019-08-30 22:05:50 64 bytes from 8.8.8.8: icmp_seq=98 ttl=56 time=49.1 ms
2019-08-30 22:05:51 64 bytes from 8.8.8.8: icmp_seq=99 ttl=56 time=51.4 ms
2019-08-30 22:05:52 64 bytes from 8.8.8.8: icmp_seq=100 ttl=56 time=49.8 ms
2019-08-30 22:05:52 --- 8.8.8.8 ping statistics ---
2019-08-30 22:05:52 100 packets transmitted, 100 received, 0% packet loss, time 99147ms
2019-08-30 22:05:52 rtt min/avg/max/mdev = 46.292/54.966/115.174/12.328 ms
