date,time
2018-12-05 10:36:29,68.3
2018-12-05 10:36:30,53.9
2018-12-05 10:36:31,29.8
2018-12-05 10:36:32,29.7
2018-12-05 10:36:34,43.8
2018-12-05 10:36:35,64.4
2018-12-05 10:36:36,101.0
2018-12-05 10:36:37,51.7
2018-12-05 10:36:38,31.8
2018-12-05 10:36:39,61.8
2018-12-05 10:36:40,37.6
2018-12-05 10:36:41,52.9
2018-12-05 10:36:42,38.8
2018-12-05 10:36:43,32.9
2018-12-05 10:36:44,74.1
2018-12-05 10:36:45,38.9
2018-12-05 10:36:46,89.1
2018-12-05 10:36:47,102.0
2018-12-05 10:36:48,126.0
2018-12-05 10:36:49,182.0
2018-12-05 10:36:50,46.1
2018-12-05 10:36:51,83.2
2018-12-05 10:36:52,68.5
2018-12-05 10:36:53,35.9
2018-12-05 10:36:54,37.4
2018-12-05 10:36:55,74.3
2018-12-05 10:36:56,34.3
2018-12-05 10:36:57,32.2
2018-12-05 10:36:58,27.9
2018-12-05 10:36:59,34.0
2018-12-05 10:37:00,33.6
2018-12-05 10:37:01,34.6
2018-12-05 10:37:02,29.9
2018-12-05 10:37:03,33.9
2018-12-05 10:37:04,27.3
