2018-12-05 12:39:45 64 bytes from 8.8.8.8: icmp_seq=61 ttl=118 time=32.6 ms
2018-12-05 12:39:46 64 bytes from 8.8.8.8: icmp_seq=62 ttl=118 time=37.9 ms
2018-12-05 12:39:47 64 bytes from 8.8.8.8: icmp_seq=63 ttl=118 time=45.0 ms
2018-12-05 12:39:48 64 bytes from 8.8.8.8: icmp_seq=64 ttl=118 time=44.4 ms
2018-12-05 12:39:49 64 bytes from 8.8.8.8: icmp_seq=65 ttl=118 time=36.9 ms
2018-12-05 12:39:50 64 bytes from 8.8.8.8: icmp_seq=66 ttl=118 time=29.9 ms
2018-12-05 12:39:51 64 bytes from 8.8.8.8: icmp_seq=67 ttl=118 time=36.7 ms
2018-12-05 12:39:52 64 bytes from 8.8.8.8: icmp_seq=68 ttl=118 time=47.5 ms
2018-12-05 12:39:53 64 bytes from 8.8.8.8: icmp_seq=69 ttl=118 time=31.1 ms
2018-12-05 12:39:54 64 bytes from 8.8.8.8: icmp_seq=70 ttl=118 time=35.6 ms
2018-12-05 12:39:55 64 bytes from 8.8.8.8: icmp_seq=71 ttl=118 time=27.2 ms
2018-12-05 12:39:56 64 bytes from 8.8.8.8: icmp_seq=72 ttl=118 time=43.9 ms
2018-12-05 12:39:57 64 bytes from 8.8.8.8: icmp_seq=73 ttl=118 time=29.8 ms
2018-12-05 12:39:58 64 bytes from 8.8.8.8: icmp_seq=74 ttl=118 time=40.3 ms
2018-12-05 12:39:59 64 bytes from 8.8.8.8: icmp_seq=75 ttl=118 time=51.2 ms
2018-12-05 12:40:00 64 bytes from 8.8.8.8: icmp_seq=76 ttl=118 time=34.9 ms
2018-12-05 12:40:01 64 bytes from 8.8.8.8: icmp_seq=77 ttl=118 time=33.8 ms
2018-12-05 12:40:02 64 bytes from 8.8.8.8: icmp_seq=78 ttl=118 time=32.5 ms
2018-12-05 12:40:03 64 bytes from 8.8.8.8: icmp_seq=79 ttl=118 time=30.4 ms
2018-12-05 12:40:04 64 bytes from 8.8.8.8: icmp_seq=80 ttl=118 time=51.5 ms
2018-12-05 12:40:05 64 bytes from 8.8.8.8: icmp_seq=81 ttl=118 time=136 ms
2018-12-05 12:40:06 64 bytes from 8.8.8.8: icmp_seq=82 ttl=118 time=58.3 ms
2018-12-05 12:40:07 64 bytes from 8.8.8.8: icmp_seq=83 ttl=118 time=37.8 ms
